pmc	pmid	filename	fullpath
5454402	28589163	PMC5454402.nxml	./data/non_comm_use.A-B.xml/Ann_Clin_Transl_Neurol/PMC5454402.nxml
5302048	28222539	PMC5302048.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5302048.nxml
5837422	29228203	PMC5837422.nxml	./data/non_comm_use.A-B.xml/Brain/PMC5837422.nxml
6311367	30584159	PMC6311367.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311367.nxml
4146673	25064009	PMC4146673.nxml	./data/non_comm_use.I-N.xml/Nat_Genet/PMC4146673.nxml
5361870	28367403	PMC5361870.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5361870.nxml
3153935	21860778	PMC3153935.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC3153935.nxml
5360401	28352181	PMC5360401.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC5360401.nxml
5868609	29606877	PMC5868609.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC5868609.nxml
5837795	29253086	PMC5837795.nxml	./data/non_comm_use.A-B.xml/Brain/PMC5837795.nxml
4782561	27011622	PMC4782561.nxml	./data/non_comm_use.A-B.xml/Ann_Indian_Acad_Neurol/PMC4782561.nxml
6057495	28899020	PMC6057495.nxml	./data/non_comm_use.A-B.xml/Brain/PMC6057495.nxml
3717586	23463873	PMC3717586.nxml	./data/non_comm_use.I-N.xml/J_Neurol_Neurosurg_Psychiatry/PMC3717586.nxml
3049364	21403865	PMC3049364.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC3049364.nxml
6221690	30412083	PMC6221690.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC6221690.nxml
5319504	28207515	PMC5319504.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5319504.nxml
5132064	25678310	PMC5132064.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC5132064.nxml
5088405	27589539	PMC5088405.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5088405.nxml
4065356	23483564	PMC4065356.nxml	./data/non_comm_use.A-B.xml/Ann_Neurol/PMC4065356.nxml
4927928	27003779	PMC4927928.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927928.nxml
5379906	28409113	PMC5379906.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5379906.nxml
2957853	20981230	PMC2957853.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC2957853.nxml
5676977	29036837	PMC5676977.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5676977.nxml
4174166	24699931	PMC4174166.nxml	./data/non_comm_use.O-Z.xml/Pract_Neurol/PMC4174166.nxml
4662707	26519540	PMC4662707.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC4662707.nxml
4883681	27239558	PMC4883681.nxml	./data/non_comm_use.I-N.xml/NPJ_Parkinsons_Dis/PMC4883681.nxml
4564706	26361595	PMC4564706.nxml	./data/non_comm_use.A-B.xml/Ann_Rehabil_Med/PMC4564706.nxml
4927877	26485428	PMC4927877.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927877.nxml
6294405	30418548	PMC6294405.nxml	./data/non_comm_use.C-H.xml/Cereb_Cortex/PMC6294405.nxml
6079564	30090696	PMC6079564.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC6079564.nxml
5066082	27349658	PMC5066082.nxml	./data/non_comm_use.I-N.xml/Neurol_Med_Chir_(Tokyo)/PMC5066082.nxml
4145963	25206458	PMC4145963.nxml	./data/non_comm_use.I-N.xml/Neural_Regen_Res/PMC4145963.nxml
5088404	27567884	PMC5088404.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5088404.nxml
5680653	29184712	PMC5680653.nxml	./data/non_comm_use.O-Z.xml/Surg_Neurol_Int/PMC5680653.nxml
5662998	29118782	PMC5662998.nxml	./data/non_comm_use.C-H.xml/Dement_Geriatr_Cogn_Dis_Extra/PMC5662998.nxml
5008228	27434297	PMC5008228.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5008228.nxml
6325984	29777529	PMC6325984.nxml	./data/non_comm_use.C-H.xml/Clin_Pharmacokinet/PMC6325984.nxml
4927924	26485429	PMC4927924.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927924.nxml
5841151	28969383	PMC5841151.nxml	./data/non_comm_use.A-B.xml/Brain/PMC5841151.nxml
6204945	29321141	PMC6204945.nxml	./data/non_comm_use.I-N.xml/J_Neurol_Neurosurg_Psychiatry/PMC6204945.nxml
5539737	28679598	PMC5539737.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC5539737.nxml
3836753	24278399	PMC3836753.nxml	./data/non_comm_use.O-Z.xml/PLoS_One/PMC3836753.nxml
4145936	25206566	PMC4145936.nxml	./data/non_comm_use.I-N.xml/Neural_Regen_Res/PMC4145936.nxml
5345633	28282810	PMC5345633.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5345633.nxml
4473718	26106536	PMC4473718.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC4473718.nxml
5084819	27141858	PMC5084819.nxml	./data/non_comm_use.C-H.xml/Eur_J_Neurol/PMC5084819.nxml
4828563	26869370	PMC4828563.nxml	./data/non_comm_use.I-N.xml/J_Clin_Neurol/PMC4828563.nxml
5504221	28631218	PMC5504221.nxml	./data/non_comm_use.A-B.xml/Adv_Ther/PMC5504221.nxml
4748867	26844450	PMC4748867.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC4748867.nxml
5527158	28765808	PMC5527158.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5527158.nxml
4714520	26817024	PMC4714520.nxml	./data/non_comm_use.I-N.xml/Mol_Ther_Methods_Clin_Dev/PMC4714520.nxml
5035940	27667186	PMC5035940.nxml	./data/non_comm_use.I-N.xml/J_Mov_Disord/PMC5035940.nxml
5678263	29067960	PMC5678263.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC5678263.nxml
5345650	28282814	PMC5345650.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5345650.nxml
4032103	24764573	PMC4032103.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4032103.nxml
4141743	24894118	PMC4141743.nxml	./data/non_comm_use.O-Z.xml/Parkinsonism_Relat_Disord/PMC4141743.nxml
5790627	29381888	PMC5790627.nxml	./data/non_comm_use.I-N.xml/J_Mov_Disord/PMC5790627.nxml
5419900	28471954	PMC5419900.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5419900.nxml
4339773	25567321	PMC4339773.nxml	./data/non_comm_use.A-B.xml/Brain/PMC4339773.nxml
3979788	24729712	PMC3979788.nxml	./data/non_comm_use.O-Z.xml/Vasc_Health_Risk_Manag/PMC3979788.nxml
2968419	21052541	PMC2968419.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC2968419.nxml
4923751	26406125	PMC4923751.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4923751.nxml
4800836	26879009	PMC4800836.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC4800836.nxml
4248456	25326098	PMC4248456.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC4248456.nxml
4789131	26696272	PMC4789131.nxml	./data/non_comm_use.A-B.xml/Ann_Neurol/PMC4789131.nxml
6329774	30643667	PMC6329774.nxml	./data/non_comm_use.O-Z.xml/Tremor_Other_Hyperkinet_Mov_(N_Y)/PMC6329774.nxml
5226806	28116232	PMC5226806.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5226806.nxml
5021132	26852372	PMC5021132.nxml	./data/non_comm_use.I-N.xml/J_Neurochem/PMC5021132.nxml
5690738	29137045	PMC5690738.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5690738.nxml
3751411	23456290	PMC3751411.nxml	./data/non_comm_use.I-N.xml/J_Neural_Transm/PMC3751411.nxml
2930111	20711177	PMC2930111.nxml	./data/non_comm_use.I-N.xml/Nat_Genet/PMC2930111.nxml
6186025	30338293	PMC6186025.nxml	./data/non_comm_use.I-N.xml/Neurol_Genet/PMC6186025.nxml
5886193	28453723	PMC5886193.nxml	./data/non_comm_use.C-H.xml/Hum_Mol_Genet/PMC5886193.nxml
4233918	24610597	PMC4233918.nxml	./data/non_comm_use.I-N.xml/J_Comp_Neurol/PMC4233918.nxml
6158752	30165427	PMC6158752.nxml	./data/non_comm_use.A-B.xml/Brain/PMC6158752.nxml
5860398	29077802	PMC5860398.nxml	./data/non_comm_use.A-B.xml/Arch_Clin_Neuropsychol/PMC5860398.nxml
3699815	21778691	PMC3699815.nxml	./data/non_comm_use.I-N.xml/Neurosignals/PMC3699815.nxml
4797835	27505015	PMC4797835.nxml	./data/non_comm_use.O-Z.xml/Yale_J_Biol_Med/PMC4797835.nxml
5024015	25650051	PMC5024015.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC5024015.nxml
6352758	30672512	PMC6352758.nxml	./data/non_comm_use.I-N.xml/Med_Sci_Monit/PMC6352758.nxml
5066683	26632091	PMC5066683.nxml	./data/non_comm_use.I-N.xml/J_Clin_Pharmacol/PMC5066683.nxml
6236081	30450025	PMC6236081.nxml	./data/non_comm_use.I-N.xml/J_Korean_Med_Sci/PMC6236081.nxml
5048391	27752516	PMC5048391.nxml	./data/non_comm_use.A-B.xml/Ann_Clin_Transl_Neurol/PMC5048391.nxml
6311362	30584155	PMC6311362.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311362.nxml
4027693	24868350	PMC4027693.nxml	./data/non_comm_use.I-N.xml/J_Mov_Disord/PMC4027693.nxml
5753901	29291606	PMC5753901.nxml	./data/non_comm_use.I-N.xml/J_Neurogastroenterol_Motil/PMC5753901.nxml
5676860	29103052	PMC5676860.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5676860.nxml
5836409	29480222	PMC5836409.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5836409.nxml
3135047	21766000	PMC3135047.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC3135047.nxml
4927926	27003780	PMC4927926.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927926.nxml
2639209	18988638	PMC2639209.nxml	./data/non_comm_use.A-B.xml/Brain/PMC2639209.nxml
5900878	29473661	PMC5900878.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC5900878.nxml
6218139	30175983	PMC6218139.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6218139.nxml
5984599	29868450	PMC5984599.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5984599.nxml
4972162	27062307	PMC4972162.nxml	./data/non_comm_use.A-B.xml/Br_J_Clin_Pharmacol/PMC4972162.nxml
2536542	19043519	PMC2536542.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC2536542.nxml
4762087	26883233	PMC4762087.nxml	./data/non_comm_use.A-B.xml/BMJ_Open/PMC4762087.nxml
483059	15285796	PMC483059.nxml	./data/non_comm_use.I-N.xml/J_Neuroinflammation/PMC483059.nxml
5442366	28566949	PMC5442366.nxml	./data/non_comm_use.C-H.xml/Dialogues_Clin_Neurosci/PMC5442366.nxml
5762774	28861870	PMC5762774.nxml	./data/non_comm_use.C-H.xml/Drug_Saf/PMC5762774.nxml
5345646	28282812	PMC5345646.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5345646.nxml
5223034	28116038	PMC5223034.nxml	./data/non_comm_use.O-Z.xml/Oxid_Med_Cell_Longev/PMC5223034.nxml
3646288	23408064	PMC3646288.nxml	./data/non_comm_use.I-N.xml/J_Neurol_Neurosurg_Psychiatry/PMC3646288.nxml
4826611	26618722	PMC4826611.nxml	./data/non_comm_use.I-N.xml/Nat_Med/PMC4826611.nxml
4276799	25548528	PMC4276799.nxml	./data/non_comm_use.C-H.xml/Exp_Neurobiol/PMC4276799.nxml
3825542	23287972	PMC3825542.nxml	./data/non_comm_use.I-N.xml/J_Neurol/PMC3825542.nxml
4001189	24647024	PMC4001189.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC4001189.nxml
5784788	29356624	PMC5784788.nxml	./data/non_comm_use.O-Z.xml/OMICS/PMC5784788.nxml
3895185	24158271	PMC3895185.nxml	./data/non_comm_use.I-N.xml/J_Neurol/PMC3895185.nxml
5477770	28336296	PMC5477770.nxml	./data/non_comm_use.I-N.xml/Lancet_Neurol/PMC5477770.nxml
4662706	26511451	PMC4662706.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC4662706.nxml
6292383	30564614	PMC6292383.nxml	./data/non_comm_use.A-B.xml/Ann_Clin_Transl_Neurol/PMC6292383.nxml
6014591	29946508	PMC6014591.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC6014591.nxml
5934466	29532440	PMC5934466.nxml	./data/non_comm_use.C-H.xml/CNS_Drugs/PMC5934466.nxml
2938030	20852670	PMC2938030.nxml	./data/non_comm_use.C-H.xml/Clin_Interv_Aging/PMC2938030.nxml
5302042	27911342	PMC5302042.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5302042.nxml
4923748	25649828	PMC4923748.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4923748.nxml
5088434	27812535	PMC5088434.nxml	./data/non_comm_use.I-N.xml/NPJ_Parkinsons_Dis/PMC5088434.nxml
5965927	29672326	PMC5965927.nxml	./data/non_comm_use.C-H.xml/Clin_Neuropharmacol/PMC5965927.nxml
6070010	29433359	PMC6070010.nxml	./data/non_comm_use.A-B.xml/Autophagy/PMC6070010.nxml
3886292	23852650	PMC3886292.nxml	./data/non_comm_use.A-B.xml/Ann_Neurol/PMC3886292.nxml
4555339	25895021	PMC4555339.nxml	./data/non_comm_use.C-H.xml/CNS_Drugs/PMC4555339.nxml
4366544	25633602	PMC4366544.nxml	./data/non_comm_use.A-B.xml/Acta_Neuropathol/PMC4366544.nxml
5577411	28879087	PMC5577411.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5577411.nxml
3114482	21411503	PMC3114482.nxml	./data/non_comm_use.C-H.xml/Diabetes_Care/PMC3114482.nxml
3314966	22104010	PMC3314966.nxml	./data/non_comm_use.O-Z.xml/Parkinsonism_Relat_Disord/PMC3314966.nxml
5438477	28222538	PMC5438477.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5438477.nxml
5934701	29736380	PMC5934701.nxml	./data/non_comm_use.I-N.xml/J_Tradit_Complement_Med/PMC5934701.nxml
5912065	29664059	PMC5912065.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC5912065.nxml
5903060	29528763	PMC5903060.nxml	./data/non_comm_use.I-N.xml/J_Geriatr_Psychiatry_Neurol/PMC5903060.nxml
6311379	30584160	PMC6311379.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311379.nxml
3589725	23462874	PMC3589725.nxml	./data/non_comm_use.O-Z.xml/Sci_Rep/PMC3589725.nxml
5459691	28562526	PMC5459691.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5459691.nxml
5008231	27258697	PMC5008231.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5008231.nxml
2854957	20396491	PMC2854957.nxml	./data/non_comm_use.I-N.xml/J_Clin_Neurol/PMC2854957.nxml
3605583	23369548	PMC3605583.nxml	./data/non_comm_use.I-N.xml/Neurobiol_Aging/PMC3605583.nxml
2832754	18539534	PMC2832754.nxml	./data/non_comm_use.I-N.xml/Lancet_Neurol/PMC2832754.nxml
4927837	26599301	PMC4927837.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927837.nxml
3399377	22829959	PMC3399377.nxml	./data/non_comm_use.O-Z.xml/Oxid_Med_Cell_Longev/PMC3399377.nxml
3592512	23487540	PMC3592512.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC3592512.nxml
6027861	29710735	PMC6027861.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6027861.nxml
5279085	28099340	PMC5279085.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC5279085.nxml
6218141	30149463	PMC6218141.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6218141.nxml
4998413	27015218	PMC4998413.nxml	./data/non_comm_use.I-N.xml/Medicine_(Baltimore)/PMC4998413.nxml
4918865	27354847	PMC4918865.nxml	./data/non_comm_use.O-Z.xml/Yale_J_Biol_Med/PMC4918865.nxml
3273978	22334776	PMC3273978.nxml	./data/non_comm_use.I-N.xml/Int_J_Nanomedicine/PMC3273978.nxml
4982543	27255555	PMC4982543.nxml	./data/non_comm_use.I-N.xml/Neurobiol_Aging/PMC4982543.nxml
5676982	28922170	PMC5676982.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5676982.nxml
2773284	19898667	PMC2773284.nxml	./data/non_comm_use.I-N.xml/Neuropsychiatr_Dis_Treat/PMC2773284.nxml
4733705	26112718	PMC4733705.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC4733705.nxml
5419223	28491828	PMC5419223.nxml	./data/non_comm_use.I-N.xml/Med_J_Islam_Repub_Iran/PMC5419223.nxml
5048387	27752512	PMC5048387.nxml	./data/non_comm_use.A-B.xml/Ann_Clin_Transl_Neurol/PMC5048387.nxml
3435526	22962558	PMC3435526.nxml	./data/non_comm_use.C-H.xml/Dement_Geriatr_Cogn_Dis_Extra/PMC3435526.nxml
4065501	24881597	PMC4065501.nxml	./data/non_comm_use.I-N.xml/Indian_J_Ophthalmol/PMC4065501.nxml
5947645	29780852	PMC5947645.nxml	./data/non_comm_use.I-N.xml/Mov_Disord_Clin_Pract/PMC5947645.nxml
5302045	27802243	PMC5302045.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC5302045.nxml
4927901	26889638	PMC4927901.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4927901.nxml
2733191	19288042	PMC2733191.nxml	./data/non_comm_use.I-N.xml/J_Neurol/PMC2733191.nxml
3109363	21687757	PMC3109363.nxml	./data/non_comm_use.O-Z.xml/Parkinsons_Dis/PMC3109363.nxml
6187003	30370040	PMC6187003.nxml	./data/non_comm_use.I-N.xml/Neurol_Int/PMC6187003.nxml
6152599	30271159	PMC6152599.nxml	./data/non_comm_use.O-Z.xml/Ther_Clin_Risk_Manag/PMC6152599.nxml
5547839	28748860	PMC5547839.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC5547839.nxml
4153395	23832570	PMC4153395.nxml	./data/non_comm_use.I-N.xml/Mol_Neurobiol/PMC4153395.nxml
3589652	22544647	PMC3589652.nxml	./data/non_comm_use.I-N.xml/Mol_Neurobiol/PMC3589652.nxml
4121087	24956065	PMC4121087.nxml	./data/non_comm_use.I-N.xml/Neuroimage/PMC4121087.nxml
4923737	26405788	PMC4923737.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC4923737.nxml
5358994	28352155	PMC5358994.nxml	./data/non_comm_use.C-H.xml/Drug_Des_Devel_Ther/PMC5358994.nxml
6311360	30584168	PMC6311360.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311360.nxml
2778765	19864305	PMC2778765.nxml	./data/non_comm_use.A-B.xml/Am_J_Epidemiol/PMC2778765.nxml
3360424	22654785	PMC3360424.nxml	./data/non_comm_use.C-H.xml/Front_Neurol/PMC3360424.nxml
3924246	24532983	PMC3924246.nxml	./data/non_comm_use.C-H.xml/Curr_Genomics/PMC3924246.nxml
5501934	28592451	PMC5501934.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC5501934.nxml
3321451	22529704	PMC3321451.nxml	./data/non_comm_use.I-N.xml/J_Biomed_Biotechnol/PMC3321451.nxml
4144811	24816003	PMC4144811.nxml	./data/non_comm_use.O-Z.xml/Parkinsonism_Relat_Disord/PMC4144811.nxml
5242167	27730764	PMC5242167.nxml	./data/non_comm_use.I-N.xml/J_Clin_Neurol/PMC5242167.nxml
4826776	27069384	PMC4826776.nxml	./data/non_comm_use.C-H.xml/Dialogues_Clin_Neurosci/PMC4826776.nxml
5912054	29664048	PMC5912054.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC5912054.nxml
2915499	20694135	PMC2915499.nxml	./data/non_comm_use.C-H.xml/Core_Evid/PMC2915499.nxml
6004926	29400668	PMC6004926.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6004926.nxml
5527156	28765809	PMC5527156.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5527156.nxml
3189543	22013420	PMC3189543.nxml	./data/non_comm_use.C-H.xml/Front_Aging_Neurosci/PMC3189543.nxml
6311374	30584157	PMC6311374.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311374.nxml
5298032	28239615	PMC5298032.nxml	./data/non_comm_use.I-N.xml/Mov_Disord_Clin_Pract/PMC5298032.nxml
5226811	28116233	PMC5226811.nxml	./data/non_comm_use.I-N.xml/Neuroimage_Clin/PMC5226811.nxml
3501971	23169921	PMC3501971.nxml	./data/non_comm_use.A-B.xml/Brain/PMC3501971.nxml
3117663	21691459	PMC3117663.nxml	./data/non_comm_use.O-Z.xml/Patient_Relat_Outcome_Meas/PMC3117663.nxml
3924249	24532986	PMC3924249.nxml	./data/non_comm_use.C-H.xml/Curr_Genomics/PMC3924249.nxml
2238789	18196299	PMC2238789.nxml	./data/non_comm_use.I-N.xml/Neurogenetics/PMC2238789.nxml
3827746	23933751	PMC3827746.nxml	./data/non_comm_use.I-N.xml/Nat_Neurosci/PMC3827746.nxml
5640420	29070942	PMC5640420.nxml	./data/non_comm_use.C-H.xml/Clin_Interv_Aging/PMC5640420.nxml
4099518	24742361	PMC4099518.nxml	./data/non_comm_use.I-N.xml/Neurobiol_Aging/PMC4099518.nxml
5638072	28734051	PMC5638072.nxml	./data/non_comm_use.I-N.xml/Mov_Disord/PMC5638072.nxml
5292222	28210018	PMC5292222.nxml	./data/non_comm_use.I-N.xml/Med_Arch/PMC5292222.nxml
5917776	29236966	PMC5917776.nxml	./data/non_comm_use.A-B.xml/Brain/PMC5917776.nxml
4940066	27306636	PMC4940066.nxml	./data/non_comm_use.I-N.xml/Neurology/PMC4940066.nxml
4797515	26668154	PMC4797515.nxml	./data/non_comm_use.C-H.xml/Chin_Med_J_(Engl)/PMC4797515.nxml
2874872	20434403	PMC2874872.nxml	./data/non_comm_use.I-N.xml/Lancet_Neurol/PMC2874872.nxml
4886208	27240810	PMC4886208.nxml	./data/non_comm_use.I-N.xml/J_Mov_Disord/PMC4886208.nxml
6311364	30584170	PMC6311364.nxml	./data/non_comm_use.I-N.xml/J_Parkinsons_Dis/PMC6311364.nxml
6080092	29189169	PMC6080092.nxml	./data/non_comm_use.C-H.xml/Curr_Neuropharmacol/PMC6080092.nxml
6043771	30009205	PMC6043771.nxml	./data/non_comm_use.A-B.xml/Ann_Clin_Transl_Neurol/PMC6043771.nxml
