pmid,title,keywords,pubyear,jid
30524354,The Peripheral Inflammatory Response to Alpha-Synuclein and Endotoxin in Parkinson's Disease.,Parkinson's disease; alpha-synuclein; cytokines; endotoxin; immune system,2018,6
30524579,A case of Type-C Wolff-Parkinson-White syndrome with severe left ventricular dysfunction: Efficacy of catheter ablation.,Left ventricular dyssynchrony; Radiofrequency catheter ablation; Severe left ventricular dysfunction; Wolff–Parkinson–White syndrome,2017,9
30524706,GM604 regulates developmental neurogenesis pathways and the expression of genes associated with amyotrophic lateral sclerosis.,Alzheimer’s disease; Amyotrophic lateral sclerosis; Extracellular matrix; Hedgehog; Huntington’s disease; Neurodegenerative disease; Notch; Parkinson’s disease; RNA-seq; Transcriptome,2018,10
30344007,Mitochondrial Dysregulation and Impaired Autophagy in iPSC-Derived Dopaminergic Neurons of Multiple System Atrophy.,MSA;autophagy;dopaminergic neurons;induced pluripotent stem cells;mitochondria;multiple system atrophy;neurodegeneration,2018,11
30344006,T-type Calcium Channels Determine the Vulnerability of Dopaminergic Neurons to Mitochondrial Stress in Familial Parkinson Disease.,PARK2;Parkinson disease;T-type calcium channels;disease modeling;induced pluripotent stem cells,2018,11
30057263,Genetically Engineered iPSC-Derived FTDP-17 MAPT Neurons Display Mutation-Specific Neurodegenerative and Neurodevelopmental Phenotypes.,FTDP-17;MAPT;ZFN;disease modelling;iPSC,2018,11
29511098,Murine knockin model for progranulin-deficient frontotemporal dementia with nonsense-mediated mRNA decay.,"D000818:Animals;D004195:Disease Models, Animal;D005347:Fibroblasts;D057180:Frontotemporal Dementia;D055879:Gene Knock-In Techniques;D006801:Humans;D036341:Intercellular Signaling Peptides and Proteins;D008247:Lysosomes;D008810:Mice, Inbred C57BL;D009154:Mutation;D059365:Nonsense Mediated mRNA Decay;D016376:Oligonucleotides, Antisense;D000077153:Progranulins;D012333:RNA, Messenger",2018,12
29364288,The rise of three-dimensional human brain cultures.,"D005075:Biological Evolution;D001921:Brain;D002454:Cell Differentiation;D006801:Humans;D008954:Models, Biological;D009474:Neurons;D009924:Organ Culture Techniques;D038081:Organogenesis;D039904:Pluripotent Stem Cells;D011786:Quality Control",2018,13
29273399,Behavioral defects in a DCTN1,"D000818:Animals;D003863:Depression;D004195:Disease Models, Animal;D000072159:Dynactin Complex;D055106:Genome-Wide Association Study;D007040:Hypoventilation;D051379:Mice;D008822:Mice, Transgenic;D008869:Microtubule-Associated Proteins;D009154:Mutation;D020734:Parkinsonian Disorders",2018,14
29151169,Parkinson's disease: experimental models and reality.,,2017,15
29112121,The Potential of iPSCs for the Treatment of Premature Aging Disorders.,"D019588:Aging, Premature;D000818:Animals;D064113:CRISPR-Cas Systems;D016922:Cellular Senescence;D044127:Epigenesis, Genetic;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D034882:Lamins;D008928:Mitochondria;D011371:Progeria",2018,1
29089398,Establishing diagnostic criteria for Perry syndrome.,,2017,16
28892059,A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.,D000978:Antiparkinson Agents;D001343:Autophagy;D016022:Case-Control Studies;D020022:Genetic Predisposition to Disease;D055106:Genome-Wide Association Study;D006801:Humans;D015810:Linkage Disequilibrium;D008247:Lysosomes;D058990:Molecular Targeted Therapy;D010300:Parkinson Disease;D012306:Risk;D014157:Transcription Factors,2017,17
28882997,Dopamine oxidation mediates mitochondrial and lysosomal dysfunction in Parkinson's disease.,"D000818:Animals;D000975:Antioxidants;D065095:Calcineurin Inhibitors;D002460:Cell Line;D004195:Disease Models, Animal;D004298:Dopamine;D059290:Dopaminergic Neurons;D005962:Glucosylceramidase;D006801:Humans;D008247:Lysosomes;D008543:Melanins;D008636:Mesencephalon;D051379:Mice;D018345:Mice, Knockout;D008928:Mitochondria;D010084:Oxidation-Reduction;D018384:Oxidative Stress;D010300:Parkinson Disease;D000071617:Protein Deglycase DJ-1;D013378:Substantia Nigra;D016559:Tacrolimus;D051844:alpha-Synuclein",2018,18
28858313,Human iPS cell-derived dopaminergic neurons function in a primate Parkinson's disease model.,"D015632:1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine;D000328:Adult;D000368:Aged;D000369:Aged, 80 and over;D000818:Animals;D049109:Cell Proliferation;D002470:Cell Survival;D004195:Disease Models, Animal;D059290:Dopaminergic Neurons;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008252:Macaca fascicularis;D008279:Magnetic Resonance Imaging;D008297:Male;D008636:Mesencephalon;D009068:Movement;D017072:Neostriatum;D016501:Neurites;D010300:Parkinson Disease;D049268:Positron-Emission Tomography;D044968:Regenerative Medicine;D012697:Serine Endopeptidases",2018,13
28789478,Perry Syndrome: A Distinctive Type of TDP-43 Proteinopathy.,"D000368:Aged;D000369:Aged, 80 and over;D000690:Amyotrophic Lateral Sclerosis;D001933:Brain Stem;D004268:DNA-Binding Proteins;D003863:Depression;D000072159:Dynactin Complex;D005192:Family Health;D005260:Female;D006801:Humans;D007040:Hypoventilation;D008297:Male;D016253:Microscopy, Immunoelectron;D008875:Middle Aged;D020734:Parkinsonian Disorders;D057177:TDP-43 Proteinopathies",2017,19
28780180,Neuropathology of Parkinson disease.,D001921:Brain;D006801:Humans;D000069338:Neuropathology;D010300:Parkinson Disease,2018,20
28725696,Creation of a library of induced pluripotent stem cells from Parkinsonian patients.,,2017,21
28625517,Reduced TDP-43 Expression Improves Neuronal Activities in a Drosophila Model of Perry Syndrome.,"D000200:Action Potentials;D000818:Animals;D001370:Axonal Transport;D004268:DNA-Binding Proteins;D003863:Depression;D004195:Disease Models, Animal;D004298:Dopamine;D004330:Drosophila;D029721:Drosophila Proteins;D005786:Gene Expression Regulation;D007040:Hypoventilation;D007150:Immunohistochemistry;D008297:Male;D009043:Motor Activity;D009046:Motor Neurons;D009154:Mutation;D009474:Neurons;D020734:Parkinsonian Disorders;D013572:Synaptic Vesicles",2018,22
28579476,Modeling neurodegenerative diseases with patient-derived induced pluripotent cells: Possibilities and challenges.,"D018929:Cell Culture Techniques;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008954:Models, Biological;D019636:Neurodegenerative Diseases;D009474:Neurons",2018,23
28416701,Defective synaptic connectivity and axonal neuropathology in a human iPSC-based model of familial Parkinson's disease.,"D019943:Amino Acid Substitution;D001369:Axons;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008954:Models, Biological;D020125:Mutation, Missense;D010300:Parkinson Disease;D011115:Polyneuropathies;D009435:Synaptic Transmission;D051844:alpha-Synuclein",2018,12
28256506,Astrocyte pathology in a human neural stem cell model of frontotemporal dementia caused by mutant TAU protein.,"D017306:Annexin A2;D001253:Astrocytes;D002454:Cell Differentiation;D018920:Coculture Techniques;D057180:Frontotemporal Dementia;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008954:Models, Biological;D058953:Neural Stem Cells;D009474:Neurons;D018384:Oxidative Stress;D020641:Polymorphism, Single Nucleotide;D020033:Protein Isoforms;D059467:Transcriptome;D054875:Ubiquitination;D016875:tau Proteins",2018,24
28235153,Distinctive genomic signature of neural and intestinal organoids from familial Parkinson's disease patient-derived induced pluripotent stem cells.,D000328:Adult;D002454:Cell Differentiation;D005260:Female;D015870:Gene Expression;D063990:Gene Ontology;D016678:Genome;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D007413:Intestinal Mucosa;D007422:Intestines;D000071158:Leucine-Rich Repeat Serine-Threonine Protein Kinase-2;D008297:Male;D008875:Middle Aged;D009154:Mutation;D009474:Neurons;D009940:Organoids;D010300:Parkinson Disease,2018,25
28157108,The Prevalence of Constipation and Irritable Bowel Syndrome in Parkinson's Disease Patients According to Rome III Diagnostic Criteria.,D000368:Aged;D003248:Constipation;D003430:Cross-Sectional Studies;D005260:Female;D006801:Humans;D043183:Irritable Bowel Syndrome;D008297:Male;D010300:Parkinson Disease;D015995:Prevalence;D011795:Surveys and Questionnaires,2018,26
28057485,Efficient induction of dopaminergic neuron differentiation from induced pluripotent stem cells reveals impaired mitophagy in PARK2 neurons.,"D017209:Apoptosis;D002454:Cell Differentiation;D002460:Cell Line;D059290:Dopaminergic Neurons;D006801:Humans;D018960:Hyaluronan Receptors;D057026:Induced Pluripotent Stem Cells;D063306:Mitochondrial Degradation;D008959:Models, Neurological;D058953:Neural Stem Cells;D010300:Parkinson Disease;D017382:Reactive Oxygen Species;D044767:Ubiquitin-Protein Ligases",2017,27
28009087,Distribution and characteristics of transactive response DNA binding protein 43 kDa pathology in progressive supranuclear palsy.,"D000368:Aged;D000369:Aged, 80 and over;D000679:Amygdala;D015897:Comorbidity;D004268:DNA-Binding Proteins;D005260:Female;D006624:Hippocampus;D006801:Humans;D008297:Male;D013494:Supranuclear Palsy, Progressive;D057177:TDP-43 Proteinopathies",2017,28
27980341,Induced pluripotent stem cell technology: a decade of progress.,"D055808:Drug Discovery;D004358:Drug Therapy;D057166:High-Throughput Screening Assays;D049674:History, 21st Century;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D044968:Regenerative Medicine;D033581:Stem Cell Transplantation",2017,29
27739432,Purification of functional human ES and iPSC-derived midbrain dopaminergic progenitors using LRTM1.,"D000818:Animals;D002454:Cell Differentiation;D002469:Cell Separation;D002478:Cells, Cultured;D059290:Dopaminergic Neurons;D005260:Female;D000066449:Human Embryonic Stem Cells;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008252:Macaca fascicularis;D008297:Male;D008636:Mesencephalon;D008810:Mice, Inbred C57BL;D010300:Parkinson Disease;D011506:Proteins;D017207:Rats, Sprague-Dawley;D012697:Serine Endopeptidases;D033581:Stem Cell Transplantation;D014183:Transplantation, Heterologous",2018,30
27721502,Calcium dysregulation contributes to neurodegeneration in FTLD patient iPSC-derived neurons.,"D002118:Calcium;D002470:Cell Survival;D002478:Cells, Cultured;D057174:Frontotemporal Lobar Degeneration;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008954:Models, Biological;D009474:Neurons;D017510:Protein Folding;D016875:tau Proteins",2018,24
27499201,A Cas9 Variant for Efficient Generation of Indel-Free Knockin or Gene-Corrected Human Pluripotent Stem Cells.,"D001483:Base Sequence;D064113:CRISPR-Cas Systems;D002460:Cell Line;D065150:Cellular Reprogramming;D059766:DNA End-Joining Repair;D005347:Fibroblasts;D064248:Geminin;D015870:Gene Expression;D055879:Gene Knock-In Techniques;D017930:Genes, Reporter;D006801:Humans;D054643:INDEL Mutation;D039904:Pluripotent Stem Cells;D017422:Sequence Analysis, DNA;D052416:Targeted Gene Repair;D014162:Transfection",2017,11
27476966,Midbrain-like Organoids from Human Pluripotent Stem Cells Contain Functional Dopaminergic and Neuromelanin-Producing Neurons.,"D002454:Cell Differentiation;D002460:Cell Line;D059290:Dopaminergic Neurons;D006801:Humans;D008543:Melanins;D008636:Mesencephalon;D009940:Organoids;D039904:Pluripotent Stem Cells;D014158:Transcription, Genetic",2017,31
27346608,Cytoplasmic aggregates of dynactin in iPSC-derived tyrosine hydroxylase-positive neurons from a patient with Perry syndrome.,D003593:Cytoplasm;D003863:Depression;D000072159:Dynactin Complex;D006801:Humans;D007040:Hypoventilation;D057026:Induced Pluripotent Stem Cells;D008297:Male;D008869:Microtubule-Associated Proteins;D008875:Middle Aged;D009154:Mutation;D009474:Neurons;D020734:Parkinsonian Disorders;D014446:Tyrosine 3-Monooxygenase,2018,20
27120160,Efficient introduction of specific homozygous and heterozygous mutations using CRISPR/Cas9.,"D000293:Adolescent;D017668:Age of Onset;D000483:Alleles;D000544:Alzheimer Disease;D016564:Amyloid beta-Protein Precursor;D000818:Animals;D001483:Base Sequence;D064113:CRISPR-Cas Systems;D053903:DNA Breaks, Double-Stranded;D053837:DNA Cleavage;D004260:DNA Repair;D005260:Female;D005799:Genes, Dominant;D056726:Genetic Association Studies;D005818:Genetic Engineering;D006579:Heterozygote;D006720:Homozygote;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008297:Male;D051379:Mice;D016296:Mutagenesis;D009154:Mutation;D053763:Presenilins;D017394:RNA, Guide;D017385:Sequence Homology;D013379:Substrate Specificity;D013698:Templates, Genetic",2016,13
26628643,Rationally engineered Cas9 nucleases with improved specificity.,"D001426:Bacterial Proteins;D053837:DNA Cleavage;D004720:Endonucleases;D006801:Humans;D016296:Mutagenesis;D017354:Point Mutation;D011487:Protein Conformation;D015202:Protein Engineering;D017394:RNA, Guide;D013297:Streptococcus pyogenes",2016,18
26618722,Parkinson's disease-associated mutant VPS35 causes mitochondrial dysfunction by recycling DLP1 complexes.,"D000368:Aged;D000369:Aged, 80 and over;D000818:Animals;D015153:Blotting, Western;D045744:Cell Line, Tumor;D034281:Dynamins;D005260:Female;D036681:Fluorescence Recovery After Photobleaching;D005455:Fluorescent Antibody Technique;D020558:GTP Phosphohydrolases;D055785:Gene Knockdown Techniques;D006801:Humans;D066298:In Vitro Techniques;D008297:Male;D051379:Mice;D046529:Microscopy, Electron, Transmission;D016253:Microscopy, Immunoelectron;D008869:Microtubule-Associated Proteins;D008928:Mitochondria;D063154:Mitochondrial Dynamics;D024101:Mitochondrial Proteins;D009474:Neurons;D018384:Oxidative Stress;D010300:Parkinson Disease;D051381:Rats;D013378:Substantia Nigra;D059008:Time-Lapse Imaging;D033921:Vesicular Transport Proteins",2016,32
26499757,Gastric motor dysfunctions in Parkinson's disease: Current pre-clinical evidence.,"D000818:Animals;D002766:Cholecystokinin;D004525:Efferent Pathways;D017615:Enteric Nervous System;D005746:Gastric Emptying;D005769:Gastrointestinal Motility;D018589:Gastroparesis;D006801:Humans;D051379:Mice;D008822:Mice, Transgenic;D008959:Models, Neurological;D009469:Neuromuscular Junction;D016627:Oxidopamine;D010300:Parkinson Disease;D020734:Parkinsonian Disorders;D066329:Protein Aggregates;D051381:Rats;D012402:Rotenone;D057170:Translational Medical Research;D014630:Vagus Nerve;D051844:alpha-Synuclein",2016,20
26373282,Frontotemporal dementia-associated N279K tau mutant disrupts subcellular vesicle trafficking and induces cellular stress in iPSC-derived neural stem cells.,"D001665:Binding Sites;D002478:Cells, Cultured;D058732:Embryoid Bodies;D011992:Endosomes;D005091:Exons;D055354:Exosomes;D005260:Female;D005625:Frontal Lobe;D057180:Frontotemporal Dementia;D005786:Gene Expression Regulation;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008247:Lysosomes;D008565:Membrane Proteins;D008875:Middle Aged;D020125:Mutation, Missense;D009419:Nerve Tissue Proteins;D009778:Occipital Lobe;D017354:Point Mutation;D021381:Protein Transport;D012333:RNA, Messenger;D013702:Temporal Lobe;D022161:Transport Vesicles;D016875:tau Proteins",2016,33
26240036,Cell-based therapies for Parkinson disease—past insights and future potential.,D000818:Animals;D064987:Cell- and Tissue-Based Therapy;D002986:Clinical Trials as Topic;D006801:Humans;D010300:Parkinson Disease,2016,34
26237226,"Automated, high-throughput derivation, characterization and differentiation of induced pluripotent stem cells.","D061249:Batch Cell Culture Techniques;D002454:Cell Differentiation;D002469:Cell Separation;D002478:Cells, Cultured;D004867:Equipment Design;D019544:Equipment Failure Analysis;D005347:Fibroblasts;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D046210:Microfluidic Analytical Techniques;D012371:Robotics",2015,35
26235891,Alpha-Synuclein Expression in the Oligodendrocyte Lineage: an In Vitro and In Vivo Study Using Rodent and Human Models.,"D000818:Animals;D002454:Cell Differentiation;D019070:Cell Lineage;D002478:Cells, Cultured;D053595:Embryonic Stem Cells;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D051379:Mice;D058953:Neural Stem Cells;D009836:Oligodendroglia;D013045:Species Specificity;D051844:alpha-Synuclein",2016,11
26220942,Early maturation and distinct tau pathology in induced pluripotent stem cell-derived neurons from patients with MAPT mutations.,"D000328:Adult;D000368:Aged;D016022:Case-Control Studies;D002460:Cell Line;D002478:Cells, Cultured;D005260:Female;D018507:Gene Expression Regulation, Developmental;D006801:Humans;D007150:Immunohistochemistry;D057026:Induced Pluripotent Stem Cells;D007231:Infant, Newborn;D008297:Male;D018613:Microscopy, Confocal;D008870:Microtubules;D008875:Middle Aged;D009474:Neurons;D018408:Patch-Clamp Techniques;D020033:Protein Isoforms;D012333:RNA, Messenger;D020133:Reverse Transcriptase Polymerase Chain Reaction;D024801:Tauopathies;D051844:alpha-Synuclein;D016875:tau Proteins",2016,36
26143746,Distinct Neurodegenerative Changes in an Induced Pluripotent Stem Cell Model of Frontotemporal Dementia Linked to Mutant TAU Protein.,D002454:Cell Differentiation;D057180:Frontotemporal Dementia;D020869:Gene Expression Profiling;D005786:Gene Expression Regulation;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008928:Mitochondria;D009154:Mutation;D016501:Neurites;D018384:Oxidative Stress;D056811:Unfolded Protein Response;D016875:tau Proteins,2016,11
26056228,I2020T mutant LRRK2 iPSC-derived neurons in the Sagamihara family exhibit increased Tau phosphorylation through the AKT/GSK-3β signaling pathway.,D000818:Animals;D017209:Apoptosis;D001343:Autophagy;D053148:Caspase 3;D002460:Cell Line;D004298:Dopamine;D038362:Glycogen Synthase Kinase 3;D000071679:Glycogen Synthase Kinase 3 beta;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D000071158:Leucine-Rich Repeat Serine-Threonine Protein Kinase-2;D051379:Mice;D009154:Mutation;D009474:Neurons;D018384:Oxidative Stress;D010766:Phosphorylation;D017346:Protein-Serine-Threonine Kinases;D051057:Proto-Oncogene Proteins c-akt;D015398:Signal Transduction;D016875:tau Proteins,2016,37
26046759,Programming and Reprogramming Cellular Age in the Era of Induced Pluripotency.,"D000818:Animals;D065150:Cellular Reprogramming;D016922:Cellular Senescence;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008136:Longevity;D023421:Models, Animal;D008954:Models, Biological",2016,31
26005811,Functional cortical neurons and astrocytes from human pluripotent stem cells in 3D culture.,"D001253:Astrocytes;D002478:Cells, Cultured;D002540:Cerebral Cortex;D006801:Humans;D039904:Pluripotent Stem Cells;D018874:Spheroids, Cellular;D013569:Synapses",2015,35
25904081,Parkinson's disease.,D001921:Brain;D018450:Disease Progression;D015259:Dopamine Agents;D020022:Genetic Predisposition to Disease;D006801:Humans;D010300:Parkinson Disease;D012307:Risk Factors,2016,38
25775569,Transcriptome analysis reveals transmembrane targets on transplantable midbrain dopamine progenitors.,"D020410:Activated-Leukocyte Cell Adhesion Molecule;D000818:Animals;D051792:Basic Helix-Loop-Helix Transcription Factors;D002352:Carrier Proteins;D015815:Cell Adhesion Molecules;D002478:Cells, Cultured;D059290:Dopaminergic Neurons;D005260:Female;D005434:Flow Cytometry;D020869:Gene Expression Profiling;D018507:Gene Expression Regulation, Developmental;D051097:Glial Cell Line-Derived Neurotrophic Factor Receptors;D049452:Green Fluorescent Proteins;D060850:LIM-Homeodomain Proteins;D008297:Male;D008565:Membrane Proteins;D008636:Mesencephalon;D008815:Mice, Inbred Strains;D008822:Mice, Transgenic;D018613:Microscopy, Confocal;D009419:Nerve Tissue Proteins;D058953:Neural Stem Cells;D010300:Parkinson Disease;D017207:Rats, Sprague-Dawley;D033581:Stem Cell Transplantation;D014157:Transcription Factors",2015,12
25621111,Methods of induced pluripotent stem cells for clinical application.,Cell reprogramming;Induced pluripotent stem cells,2015,39
25556567,Restoration of progranulin expression rescues cortical neuron generation in an induced pluripotent stem cell model of frontotemporal dementia.,"D015415:Biomarkers;D002454:Cell Differentiation;D002460:Cell Line;D057180:Frontotemporal Dementia;D015870:Gene Expression;D020869:Gene Expression Profiling;D057895:Haploinsufficiency;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D036341:Intercellular Signaling Peptides and Proteins;D009154:Mutation;D058953:Neural Stem Cells;D055495:Neurogenesis;D009474:Neurons;D010641:Phenotype;D000077153:Progranulins;D013997:Time Factors;D014158:Transcription, Genetic;D059467:Transcriptome;D060449:Wnt Signaling Pathway",2015,11
25383599,Combinatorial analysis of developmental cues efficiently converts human pluripotent stem cells into multiple neuronal subtypes.,D002454:Cell Differentiation;D020650:Combinatorial Chemistry Techniques;D006801:Humans;D009474:Neurons;D039904:Pluripotent Stem Cells,2015,40
25064009,Large-scale meta-analysis of genome-wide association data identifies six new risk loci for Parkinson's disease.,"D016022:Case-Control Studies;D056426:Genetic Loci;D020022:Genetic Predisposition to Disease;D055106:Genome-Wide Association Study;D005838:Genotype;D006801:Humans;D010300:Parkinson Disease;D020641:Polymorphism, Single Nucleotide;D012307:Risk Factors",2015,17
24998994,Parkinsonian syndrome in familial frontotemporal dementia.,D000818:Animals;D057180:Frontotemporal Dementia;D020022:Genetic Predisposition to Disease;D006801:Humans;D008869:Microtubule-Associated Proteins;D009154:Mutation;D020734:Parkinsonian Disorders;D016875:tau Proteins,2015,20
24906146,Development and applications of CRISPR-Cas9 for genome engineering.,D000818:Animals;D001419:Bacteria;D064113:CRISPR-Cas Systems;D005057:Eukaryotic Cells;D018390:Gene Targeting;D005818:Genetic Engineering;D016678:Genome;D006801:Humans;D013297:Streptococcus pyogenes,2014,41
24672756,Isolation of human induced pluripotent stem cell-derived dopaminergic progenitors by cell sorting for successful transplantation.,"D000818:Animals;D001522:Behavior, Animal;D018929:Cell Culture Techniques;D002454:Cell Differentiation;D049109:Cell Proliferation;D002470:Cell Survival;D002478:Cells, Cultured;D059290:Dopaminergic Neurons;D005260:Female;D005434:Flow Cytometry;D020869:Gene Expression Profiling;D064593:Heterografts;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D008636:Mesencephalon;D058953:Neural Stem Cells;D051381:Rats;D012697:Serine Endopeptidases;D013997:Time Factors",2014,11
24507191,Axonal transport of TDP-43 mRNA granules is impaired by ALS-causing mutations.,"D000690:Amyotrophic Lateral Sclerosis;D000818:Animals;D030801:Animals, Genetically Modified;D001370:Axonal Transport;D002478:Cells, Cultured;D002540:Cerebral Cortex;D004268:DNA-Binding Proteins;D004330:Drosophila;D029721:Drosophila Proteins;D006801:Humans;D051741:Kruppel-Like Transcription Factors;D008164:Luminescent Proteins;D051379:Mice;D008928:Mitochondria;D009046:Motor Neurons;D009154:Mutation;D050814:Octamer Transcription Factor-3;D012333:RNA, Messenger;D016601:RNA-Binding Proteins;D055748:SOXB1 Transcription Factors",2014,42
24315443,Human iPSC-based modeling of late-onset disease via progerin-induced aging.,"D000328:Adult;D017668:Age of Onset;D000368:Aged;D000369:Aged, 80 and over;D000375:Aging;D000818:Animals;D015415:Biomarkers;D002454:Cell Differentiation;D065150:Cellular Reprogramming;D016922:Cellular Senescence;D002648:Child;D059290:Dopaminergic Neurons;D005347:Fibroblasts;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D034904:Lamin Type A;D008636:Mesencephalon;D051379:Mice;D008875:Middle Aged;D008954:Models, Biological;D009687:Nuclear Proteins;D010300:Parkinson Disease;D010641:Phenotype;D011498:Protein Precursors;D014019:Tissue Donors",2014,31
24262191,α-Synucleinopathy phenotypes.,D006801:Humans;D020961:Lewy Body Disease;D019578:Multiple System Atrophy;D010300:Parkinson Disease;D010641:Phenotype;D051844:alpha-Synuclein,2014,20
24239350,"The presenilin-1 ΔE9 mutation results in reduced γ-secretase activity, but not total loss of PS1 function, in isogenic human stem cells.","D000544:Alzheimer Disease;D053829:Amyloid Precursor Protein Secretases;D016229:Amyloid beta-Peptides;D016564:Amyloid beta-Protein Precursor;D001483:Base Sequence;D002460:Cell Line;D002478:Cells, Cultured;D049452:Green Fluorescent Proteins;D006801:Humans;D009154:Mutation;D055495:Neurogenesis;D009474:Neurons;D010446:Peptide Fragments;D039904:Pluripotent Stem Cells;D053764:Presenilin-1;D011499:Protein Processing, Post-Translational;D017422:Sequence Analysis, DNA",2014,43
23472874,Genetic correction of a LRRK2 mutation in human iPSCs links parkinsonian neurodegeneration to ERK-dependent changes in gene expression.,"D001549:Benzamides;D002454:Cell Differentiation;D002478:Cells, Cultured;D004159:Diphenylamine;D004298:Dopamine;D048049:Extracellular Signal-Regulated MAP Kinases;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D000071158:Leucine-Rich Repeat Serine-Threonine Protein Kinase-2;D009154:Mutation;D009474:Neurons;D016627:Oxidopamine;D010300:Parkinson Disease;D017346:Protein-Serine-Threonine Kinases;D020133:Reverse Transcriptase Polymerase Chain Reaction;D012402:Rotenone",2013,31
23467164,Biotechnology: Rewriting a genome.,"D000818:Animals;D001419:Bacteria;D001709:Biotechnology;D004247:DNA;D053837:DNA Cleavage;D004720:Endonucleases;D005818:Genetic Engineering;D006801:Humans;D055029:Inverted Repeat Sequences;D012329:RNA, Bacterial;D017394:RNA, Guide",2013,13
23371366,Corticobasal degeneration with olivopontocerebellar atrophy and TDP-43 pathology: an unusual clinicopathologic variant of CBD.,"D000368:Aged;D002524:Cerebellar Ataxia;D004268:DNA-Binding Proteins;D005260:Female;D006801:Humans;D008297:Male;D009410:Nerve Degeneration;D009849:Olivopontocerebellar Atrophies;D013494:Supranuclear Palsy, Progressive",2013,15
23237903,Fetal dopaminergic transplantation trials and the future of neural grafting in Parkinson's disease.,D000818:Animals;D016380:Brain Tissue Transplantation;D002986:Clinical Trials as Topic;D004298:Dopamine;D016332:Fetal Tissue Transplantation;D006801:Humans;D009474:Neurons;D010300:Parkinson Disease,2013,44
23063362,Induced pluripotent stem cell models of progranulin-deficient frontotemporal dementia uncover specific reversible neuronal defects.,"D002460:Cell Line;D015536:Down-Regulation;D057180:Frontotemporal Dementia;D057895:Haploinsufficiency;D006579:Heterozygote;D006801:Humans;D057026:Induced Pluripotent Stem Cells;D036341:Intercellular Signaling Peptides and Proteins;D017628:Microglia;D020928:Mitogen-Activated Protein Kinases;D009154:Mutation;D009474:Neurons;D058539:Phosphatidylinositol 3-Kinase;D000077153:Progranulins;D047428:Protein Kinase Inhibitors;D038762:Ribosomal Protein S6 Kinases, 70-kDa;D019311:Staurosporine",2013,43
